word,translation,word_example,trans_example
안녕하세요,hello,안녕하세요 저는 한국어를 배우고 있는 학생입니다.,Hello I am a student learning Korean.
감사합니다,thank you,도와주셔서 정말 감사합니다.,Thank you very much for helping me.
죄송합니다,sorry,늦게 와서 죄송합니다 다음에는 더 일찍 오겠습니다.,Sorry for arriving late I will come earlier next time.
사람,person,그 사람은 항상 다른 사람을 도와주는 친절한 사람입니다.,That person is kind and always helps others.
시간,time,요즘은 시간이 없어서 친구들을 자주 못 만나요.,These days I don’t have time so I can’t meet friends often.
오늘,today,오늘은 날씨가 좋아서 밖에서 산책을 했어요.,Today the weather was nice so I took a walk outside.
내일,tomorrow,내일은 중요한 시험이 있어서 오늘 열심히 공부해야 합니다.,I have an important exam tomorrow so I need to study hard today.
어제,yesterday,어제는 너무 피곤해서 집에 와서 바로 잤어요.,Yesterday I was so tired that I slept right after coming home.
물,water,운동을 한 후에는 물을 많이 마시는 것이 좋습니다.,After exercising it is good to drink a lot of water.
밥,meal/rice,저는 보통 아침에 밥을 먹지 않고 커피만 마셔요.,I usually don’t eat rice in the morning and only drink coffee.
학교,school,저는 매일 아침 일찍 학교에 가서 공부를 합니다.,I go to school early every morning to study.
집,home,주말에는 보통 집에서 쉬면서 영화를 봅니다.,On weekends I usually rest at home and watch movies.
친구,friend,오랜만에 친구를 만나서 같이 저녁을 먹었어요.,I met a friend after a long time and we had dinner together.
가다,to go,저는 주말마다 공원에 가서 산책을 합니다.,I go to the park every weekend and take a walk.
오다,to come,친구가 우리 집에 와서 같이 영화를 봤어요.,A friend came to my house and we watched a movie together.
먹다,to eat,점심에는 보통 간단하게 샌드위치를 먹어요.,I usually eat a simple sandwich for lunch.
마시다,to drink,저는 하루에 커피를 두 잔 정도 마십니다.,I drink about two cups of coffee a day.
보다,to see/watch,어제 밤에 재미있는 영화를 하나 봤어요.,I watched an interesting movie last night.
좋다,to be good,이 카페는 분위기가 좋아서 자주 옵니다.,This cafe has a nice atmosphere so I come often.
나쁘다,to be bad,오늘은 몸 상태가 나빠서 일찍 집에 갈 거예요.,I feel unwell today so I will go home early.
크다,to be big,이 건물은 생각보다 훨씬 커서 놀랐어요.,This building is much bigger than I expected.
작다,to be small,방이 조금 작지만 혼자 살기에는 충분합니다.,The room is a bit small but enough for one person.
많다,to be many,이 식당에는 항상 사람이 많아서 기다려야 합니다.,This restaurant is always crowded so you have to wait.
적다,to be few,요즘은 시간이 적어서 취미 생활을 잘 못 해요.,These days I have little time so I can’t enjoy hobbies.
있다,to exist/have,집 근처에 좋은 카페가 하나 있습니다.,There is a good cafe near my house.
없다,to not exist,오늘은 약속이 없어서 집에서 쉬려고 합니다.,I don’t have plans today so I will rest at home.
하다,to do,저는 매일 아침에 운동을 하려고 노력합니다.,I try to exercise every morning.
되다,to become,오랜 노력 끝에 드디어 꿈이 이루어졌습니다.,After long effort my dream finally came true.
말하다,to speak,그는 한국어를 아주 잘 말해서 놀랐어요.,I was surprised that he speaks Korean very well.
듣다,to listen,출퇴근할 때 음악을 들으면서 기분을 풀어요.,I listen to music during my commute to relax.
읽다,to read,자기 전에 책을 조금 읽는 습관이 있습니다.,I have a habit of reading a little before bed.
쓰다,to write,오늘은 일기를 써서 하루를 정리했습니다.,Today I wrote a diary to reflect on the day.
공부하다,to study,시험이 가까워져서 요즘 열심히 공부하고 있어요.,The exam is approaching so I am studying hard these days.
일하다,to work,저는 평일에는 회사에서 일하고 주말에는 쉽니다.,I work at a company on weekdays and rest on weekends.
쉬다,to rest,너무 피곤할 때는 충분히 쉬는 것이 중요합니다.,When you are very tired it is important to rest well.
자다,to sleep,어제는 늦게 자서 오늘 많이 피곤합니다.,I slept late yesterday so I am very tired today.
일어나다,to wake up,아침마다 일찍 일어나기가 쉽지 않습니다.,It is not easy to wake up early every morning.
앉다,to sit,카페에 앉아서 책을 읽는 시간이 좋습니다.,I enjoy sitting in a cafe and reading a book.
서다,to stand,버스 안에서 자리가 없어서 계속 서 있었어요.,There were no seats on the bus so I kept standing.
걷다,to walk,저녁에 공원을 걸으면서 하루를 정리합니다.,I reflect on my day while walking in the park in the evening.
달리다,to run,건강을 위해서 일주일에 세 번 정도 달립니다.,I run about three times a week for my health.
사다,to buy,필요한 물건을 사기 위해 마트에 갔어요.,I went to the supermarket to buy necessary items.
팔다,to sell,그 가게에서는 다양한 옷을 저렴하게 팝니다.,That store sells various clothes at low prices.
주다,to give,친구에게 생일 선물을 주었어요.,I gave a birthday gift to my friend.
받다,to receive,어제 부모님께서 선물을 보내주셔서 받았어요.,Yesterday I received a gift from my parents.
만나다,to meet,주말에 오랜 친구를 만나서 이야기를 나눴어요.,I met an old friend on the weekend and talked.
헤어지다,to part,우리는 늦은 밤에 아쉽게 헤어졌습니다.,We parted reluctantly late at night.
사랑하다,to love,가족을 사랑하는 마음은 항상 변하지 않습니다.,Love for family never changes.
좋아하다,to like,저는 조용한 음악을 듣는 것을 좋아합니다.,I like listening to calm music.
싫어하다,to dislike,너무 시끄러운 장소는 별로 좋아하지 않아요.,I don’t really like very noisy places.
필요하다,to need,이 일을 끝내려면 시간이 더 필요합니다.,I need more time to finish this work.
원하다,to want,저는 언젠가 세계 여행을 하고 싶습니다.,I want to travel the world someday.
알다,to know,그 사람을 오래전에 알아서 편하게 이야기할 수 있어요.,I’ve known that person for a long time so I can speak comfortably.
모르다,to not know,이 문제는 아직 잘 몰라서 더 공부해야 할 것 같아요.,I don’t understand this problem yet so I think I need to study more.
생각하다,to think,저는 이 방법이 더 좋다고 생각합니다.,I think this method is better.
기다리다,to wait,친구를 기다리면서 카페에서 커피를 마시고 있어요.,I am drinking coffee at a cafe while waiting for a friend.
찾다,to find,잃어버린 열쇠를 하루 종일 찾다가 결국 찾았어요.,I looked for my lost key all day and finally found it.
잃다,to lose,지갑을 잃어버려서 조금 당황했지만 다시 찾았어요.,I lost my wallet and was a bit flustered but found it again.
열다,to open,아침에 일어나자마자 창문을 열어서 공기를 바꿉니다.,I open the window as soon as I wake up to get fresh air.
닫다,to close,비가 와서 창문을 빨리 닫았어요.,It started raining so I quickly closed the window.
시작하다,to start,새로운 프로젝트를 다음 주부터 시작할 예정입니다.,I plan to start a new project next week.
끝나다,to finish,회의가 생각보다 일찍 끝나서 시간이 남았어요.,The meeting ended earlier than expected so I had extra time.
살다,to live,저는 조용한 동네에서 사는 것을 좋아합니다.,I like living in a quiet neighborhood.
죽다,to die,오래 키우던 식물이 갑자기 죽어서 속상했어요.,A plant I had for a long time suddenly died so I was sad.
타다,to ride,출근할 때 보통 지하철을 타고 회사에 갑니다.,I usually take the subway to work.
내리다,to get off,두 정거장 후에 내려야 해서 준비하고 있었어요.,I was getting ready because I had to get off in two stops.
들어가다,to enter,비가 와서 근처 카페에 들어가서 잠시 쉬었어요.,It started raining so I went into a nearby cafe and rested.
나오다,to come out,영화를 보고 나와서 친구와 이야기를 나눴어요.,After watching a movie I came out and talked with a friend.
올라가다,to go up,엘리베이터를 타고 10층까지 올라갔어요.,I took the elevator up to the 10th floor.
내려가다,to go down,지하로 내려가면 큰 주차장이 있습니다.,If you go down to the basement there is a large parking lot.
놓다,to put,가방을 의자 위에 조심스럽게 놓았어요.,I carefully put my bag on the chair.
들다,to hold,무거운 짐을 한 손으로 들고 있어서 힘들었어요.,It was hard because I was holding heavy luggage with one hand.
잡다,to grab,넘어질 뻔해서 옆에 있는 손잡이를 급하게 잡았어요.,I almost fell so I quickly grabbed the handle next to me.
