word,translation,word_example,trans_example
你好,hello,你好！很高兴见到你。,Hello! I’m happy to see you.
您好,hello (polite),您好，请问这里是图书馆吗？,"Hello, may I ask if this is the library?"
早上好,good morning,早上好！你今天睡得好吗？,Good morning! Did you sleep well today?
下午好,good afternoon,下午好，我们开始上课吧。,"Good afternoon, let’s start class."
晚上好,good evening,晚上好！今晚的电影很好看。,Good evening! The movie tonight was great.
不好意思,excuse me/sorry,不好意思，我迟到了。,"Sorry, I’m late."
请问,may I ask…,请问洗手间在哪里？,May I ask where the restroom is?
明天见,see you tomorrow,明天见！别忘了带书。,See you tomorrow! Don’t forget to bring your book.
你好吗？,how are you?,你好吗？最近忙不忙？,How are you? Have you been busy lately?
我很好,I'm very well,谢谢你关心，我很好。,"Thanks for caring, I’m very well."
谢谢,thank you,谢谢你帮我拿东西。,Thank you for helping me hold things.
不客气,you’re welcome,谢谢你！—不客气！,Thank you! — You’re welcome!
对不起,sorry,对不起，我不小心踩到你的脚了。,"Sorry, I accidentally stepped on your foot."
没关系,It’s OK,没关系，下次注意就好。,"It’s okay, just be careful next time."
请,please,请等一下，我马上回来。,"Please wait a moment, I’ll be right back."
他,he/him,他是我的同学。,He is my classmate.
她,she/her,她今天不在学校。,She is not at school today.
我,I/me,我想学中文。,I want to learn Chinese.
你,you,你喜欢吃中国菜吗？,Do you like eating Chinese food?
我们,we/us,我们一起去吃饭吧。,Let’s go eat together.
他们,they (males/mixed),他们今天去运动了。,They went to exercise today.
你们,you (plural),你们准备好了吗？,Are you all ready?
您,you (formal),您好！请问需要帮助吗？,Hello! Do you need help?
加油,keep going,加油！你一定可以的！,Keep going! You can definitely do it!
再见,goodbye,好了，我们先走了，再见！,"Okay, we’re off now, goodbye!"
拜拜,bye bye,我先走了，拜拜！,I’m going first — bye bye!
一会儿见,see you later,我去买东西，一会儿见。,"I’m going to buy something, see you later."
晚安,good night,睡觉前跟妈妈说晚安。,Say good night to mom before going to bed.
保重,take care,你出差别忘了保重身体。,You’re on a business trip — don’t forget to take care.
欢迎,welcome,欢迎来到我们的学校。,Welcome to our school.
兴趣,hobby,我的兴趣是画画。,My hobby is drawing.
学习,study,他每天学习中文两个小时。,He studies Chinese two hours every day.
留学,study abroad,我打算明年去中国留学。,I plan to study abroad in China next year.
大学,university,她在大学学经济学。,She studies economics at the university.
高中,high school,我在高中交了很多朋友。,I made many friends in high school.
名字,name,我可以知道你的名字吗？,May I know your name?
姓,surname,我姓王。,My surname is Wang.
现在,present/currently,我现在住在北京。,I currently live in Beijing.
英文名字,English name,他的英文名字叫 Tom。,His English name is Tom.
年龄,age,你今年多大年龄？,How old are you this year?
出生,to be born,我出生在上海。,I was born in Shanghai.
出生地,place of birth,你的出生地在哪里？,Where is your place of birth?
来自,to come from,我来自加拿大。,I come from Canada.
国家,country,我最想去的国家是日本。,The country I want to visit most is Japan.
性别,gender,请写下你的性别。,Please write down your gender.
电话号码,phone number,我可以留你的电话号码吗？,Can I have your phone number?
城市,city,这个城市很漂亮。,This city is very beautiful.
住在,to live in,我住在一个安静的社区。,I live in a quiet neighborhood.
老师,teacher,老师正在讲课，大家认真听。,The teacher is giving a lesson; everyone is listening carefully.
学生,student,学生们在图书馆学习。,The students are studying in the library.
上课,attend class,我们每天八点上课。,We have class at 8 every day.
下课,class ends,下课后我们去操场玩。,"After class, we go play on the playground."
写,write,请用中文写一篇日记。,Please write a diary entry in Chinese.
读,read,他喜欢晚上读书。,He likes to read books at night.
听,listen,上课时请认真听老师讲解。,Please listen carefully to the teacher during class.
说,speak,请用中文说一句话。,Please say a sentence in Chinese.
问,ask,我想问老师一个问题。,I want to ask the teacher a question.
答,answer,学生们积极回答问题。,The students answer questions actively.
懂,understand,我不懂这道题的意思。,I don’t understand the meaning of this question.
学,learn,我想学做中国菜。,I want to learn how to cook Chinese food.
教,teach,老师教我们汉字的写法。,The teacher teaches us how to write Chinese characters.
写作,writing,他每天练习中文写作。,He practices Chinese writing every day.
练习,practice,我练习听力提高中文水平。,I practice listening to improve my Chinese.
复习,review,考试前我要复习所有单词。,I need to review all the vocabulary before the exam.
考试,exam,下周有一个汉语考试。,There is a Chinese exam next week.
成绩,grade,她的考试成绩非常好。,Her exam grades are very good.
书,book,我在书店买了一本新书。,I bought a new book at the bookstore.
字,character,这个汉字很难写。,This Chinese character is hard to write.
词,word,老师教了我们很多新词。,The teacher taught us many new words.
句,sentence,请用这个词造一个句子。,Please make a sentence using this word.
课本,textbook,我忘记带课本了。,I forgot to bring my textbook.
练习册,exercise book,练习册里有很多练习题。,The exercise book has many exercises.
老师办公室,teacher’s office,我去老师办公室问问题。,I went to the teacher’s office to ask a question.
学校,school,我们每天早上八点去学校。,We go to school at 8 every morning.
教室,classroom,教室里坐满了学生。,The classroom is full of students.
图书馆,library,图书馆里很安静。,The library is very quiet.
操场,playground,下午我们在操场踢足球。,In the afternoon we play soccer on the playground.
午餐,lunch,中午大家一起吃午餐。,Everyone eats lunch together at noon.
晚餐,dinner,今晚的晚餐有很多菜。,There are many dishes for dinner tonight.
早餐,breakfast,我每天早上吃早餐。,I eat breakfast every morning.
老师助教,teaching assistant,老师助教帮助学生解答问题。,The teaching assistant helps students answer questions.
课外活动,extracurricular activity,我参加了学校的课外活动。,I joined the school’s extracurricular activity.
运动,sports,我们喜欢参加运动。,We like participating in sports.
跑步,run,每天早上我在公园跑步。,I run in the park every morning.
游泳,swim,夏天我去游泳。,I go swimming in the summer.
球,ball,孩子们在操场上踢球。,Children play ball on the playground.
比赛,competition,学校举办了篮球比赛。,The school held a basketball competition.
赢,win,我们的队赢了比赛。,Our team won the match.
